dam_nm,obsr_de,rain_qy,inflow_qy,outflow_qy,reserve_qy,reserve_rt,tot_qy,valid_qy,unused_qy,maximum_use_qy,avg_hmd,avg_tmr,avg_wv,sun_sum
군위,2021-09-01,61.1076,33.593,27.709,38.444,0.789,48.7,40.1,5.5,40.1,0.908,21.9,2.4,0.2
군위,2021-09-02,0.2366,16.142,49.042,35.601,0.731,48.7,40.1,5.5,40.1,0.7709999999999999,21.8,2.5,0.9
군위,2021-09-03,0.0,2.402,30.33,33.188,0.682,48.7,40.1,5.5,40.1,0.865,20.5,1.4,0.7
군위,2021-09-04,0.0,2.656,1.407,33.296,0.684,48.7,40.1,5.5,40.1,0.664,22.4,2.0,7.7
군위,2021-09-05,0.0,1.492,1.492,33.296,0.684,48.7,40.1,5.5,40.1,0.685,21.8,1.7,1.0
군위,2021-09-06,1.7634,1.461,1.461,33.296,0.684,48.7,40.1,5.5,40.1,0.783,21.8,2.3,1.6
군위,2021-09-07,3.7634,0.925,1.425,33.253,0.6829999999999999,48.7,40.1,5.5,40.1,0.86,22.2,1.2,0.2
군위,2021-09-08,0.0,0.657,1.406,33.188,0.6815000000000001,48.7,40.1,5.5,40.1,0.688,23.7,1.7,6.7
군위,2021-09-09,0.0,0.376,1.374,33.1017,0.68,48.7,40.1,5.5,40.1,0.6709999999999999,23.7,0.9,6.1
군위,2021-09-10,0.0,0.622,1.37,33.0371,0.6779999999999999,48.7,40.1,5.5,40.1,0.755,22.6,0.9,0.2
군위,2021-09-11,0.0,0.124,1.369,32.93,0.6759999999999999,48.7,40.1,5.5,40.1,0.654,23.8,1.0,9.5
군위,2021-09-12,0.0,0.372,1.367,32.844,0.674,48.7,40.1,5.5,40.1,0.653,24.3,2.0,8.8
군위,2021-09-13,0.0,0.121,1.363,32.736,0.672,48.7,40.1,5.5,40.1,0.663,23.1,3.4,0.6
군위,2021-09-14,0.0,0.119,1.359,32.629,0.67,48.7,40.1,5.5,40.1,0.6890000000000001,22.5,3.5,4.5
군위,2021-09-15,0.0,0.119,1.357,32.522,0.668,48.7,40.1,5.5,40.1,0.616,22.7,3.9,10.7
군위,2021-09-16,0.0,0.119,1.355,32.415,0.6659999999999999,48.7,40.1,5.5,40.1,0.716,22.2,2.9,6.0
군위,2021-09-17,16.7635,0.856,1.35,32.373,0.665,48.7,40.1,5.5,40.1,0.8250000000000001,20.5,2.5,4.0
군위,2021-09-18,0.0,0.363,1.35,32.287,0.663,48.7,40.1,5.5,40.1,0.7909999999999999,21.5,1.6,7.8
군위,2021-09-19,0.0,0.116,1.348,32.181,0.6609999999999999,48.7,40.1,5.5,40.1,0.763,21.7,2.1,10.5
군위,2021-09-20,0.0,0.115,1.345,32.075,0.659,48.7,40.1,5.5,40.1,0.7909999999999999,21.7,2.6,5.2
군위,2021-09-21,13.4731,0.852,1.344,32.032,0.658,48.7,40.1,5.5,40.1,0.9059999999999999,22.9,1.5,1.8
군위,2021-09-22,0.7634,0.606,1.343,31.969,0.6559999999999999,48.7,40.1,5.5,40.1,0.674,24.1,2.2,10.2
군위,2021-09-23,0.0,0.36,1.342,31.884,0.655,48.7,40.1,5.5,40.1,0.636,21.6,2.2,9.7
군위,2021-09-24,0.0,0.15,1.375,31.778,0.653,48.7,40.1,5.5,40.1,0.821,19.7,1.9,6.1
군위,2021-09-25,2.2366,0.415,1.394,31.693,0.6509999999999999,48.7,40.1,5.5,40.1,0.848,20.6,1.7,0.2
군위,2021-09-26,0.0,0.169,1.391,31.588,0.649,48.7,40.1,5.5,40.1,0.741,20.5,2.0,2.6
군위,2021-09-27,0.0,0.171,1.391,31.482,0.647,48.7,40.1,5.5,40.1,0.731,20.4,1.8,2.1
군위,2021-09-28,0.0,0.171,1.39,31.377,0.644,48.7,40.1,5.5,40.1,0.758,21.8,2.0,2.5
군위,2021-09-29,31.7956,0.899,1.386,31.335,0.643,48.7,40.1,5.5,40.1,0.9390000000000001,22.4,1.2,1.1
군위,2021-09-30,9.7635,4.801,1.387,31.63,0.65,48.7,40.1,5.5,40.1,0.8200000000000001,21.9,2.0,7.7
군위,2021-10-01,0.0,1.875,1.386,31.672,0.65,48.7,40.1,5.5,40.1,0.782,21.6,1.2,11.8
군위,2021-10-02,0.0,1.381,1.381,31.672,0.65,48.7,40.1,5.5,40.1,0.721,22.3,1.3,11.7
군위,2021-10-03,0.0,0.765,1.254,31.63,0.65,48.7,40.1,5.5,40.1,0.723,22.3,1.4,11.5
군위,2021-10-04,0.0,0.175,1.396,31.524,0.647,48.7,40.1,5.5,40.1,0.6940000000000001,24.0,1.3,10.2
군위,2021-10-05,0.0,0.416,1.392,31.44,0.6456000000000001,48.7,40.1,5.5,40.1,0.748,24.0,1.7,11.5
군위,2021-10-06,0.0,0.168,1.386,31.335,0.643,48.7,40.1,5.5,40.1,0.809,22.1,2.4,8.3
군위,2021-10-07,0.0,0.163,1.379,31.23,0.6413,48.7,40.1,5.5,40.1,0.745,23.2,1.2,8.9
군위,2021-10-08,1.0,0.354,1.374,31.142,0.64,48.7,40.1,5.5,40.1,0.79,22.3,2.8,5.8
군위,2021-10-09,0.0,0.0,1.37,31.02,0.637,48.7,40.1,5.5,40.1,0.813,23.4,1.8,9.3
군위,2021-10-10,0.0,0.154,1.365,30.916,0.635,48.7,40.1,5.5,40.1,0.747,25.2,1.5,10.5
군위,2021-10-11,22.4732,0.868,1.352,30.874,0.634,48.7,40.1,5.5,40.1,0.8940000000000001,18.0,2.0,1.7
군위,2021-10-12,2.4732,0.866,1.35,30.832,0.633,48.7,40.1,5.5,40.1,0.913,15.9,1.8,2.2
군위,2021-10-13,0.2366,0.625,1.35,30.769,0.632,48.7,40.1,5.5,40.1,0.818,18.0,1.4,5.3
군위,2021-10-14,0.0,0.373,1.387,30.682,0.63,48.7,40.1,5.5,40.1,0.813,19.6,1.2,9.9
군위,2021-10-15,11.0,0.5,1.416,30.603,0.628,48.7,40.1,5.5,40.1,0.812,19.2,1.4,5.9
군위,2021-10-16,12.4732,2.623,1.417,30.707,0.631,48.7,40.1,5.5,40.1,0.6609999999999999,14.7,3.4,2.9
군위,2021-10-17,0.0,1.659,1.418,30.728,0.631,48.7,40.1,5.5,40.1,0.445,8.0,2.7,11.7
군위,2021-10-18,0.0,1.657,1.416,30.748,0.631,48.7,40.1,5.5,40.1,0.594,9.2,1.0,11.2
군위,2021-10-19,0.2366,0.689,1.413,30.686,0.63,48.7,40.1,5.5,40.1,0.647,11.6,2.1,8.8
군위,2021-10-20,0.2366,0.447,1.411,30.603,0.628,48.7,40.1,5.5,40.1,0.6759999999999999,10.7,1.1,10.4
군위,2021-10-21,0.0,0.205,1.409,30.499,0.626,48.7,40.1,5.5,40.1,0.797,11.3,1.1,8.0
군위,2021-10-22,2.5268,0.444,1.406,30.415,0.625,48.7,40.1,5.5,40.1,0.668,11.7,2.0,10.0
군위,2021-10-23,0.0,0.201,1.402,30.312,0.622,48.7,40.1,5.5,40.1,0.687,11.5,0.9,9.7
군위,2021-10-24,0.0,0.201,1.4,30.208,0.62,48.7,40.1,5.5,40.1,0.6990000000000001,11.7,0.9,9.8
군위,2021-10-25,0.0,0.202,1.399,30.105,0.6182,48.7,40.1,5.5,40.1,0.6829999999999999,12.5,1.1,9.8
군위,2021-10-26,0.0,0.0,1.399,29.981,0.6156,48.7,40.1,5.5,40.1,0.67,8.1,0.2,10.4
군위,2021-10-27,0.0,0.204,1.398,29.878,0.614,48.7,40.1,5.5,40.1,0.62,10.1,0.4,10.17
군위,2021-10-28,0.0,0.205,1.397,29.775,0.611,48.7,40.1,5.5,40.1,0.58,9.0,0.3,11.21
군위,2021-10-29,0.0,0.0,1.396,29.651,0.609,48.7,40.1,5.5,40.1,0.71,9.3,0.3,8.45
군위,2021-10-30,0.0,0.206,1.394,29.549,0.6070000000000001,48.7,40.1,5.5,40.1,0.79,8.8,0.1,6.19
군위,2021-10-31,0.0,0.0,1.393,29.426,0.604,48.7,40.1,5.5,40.1,0.7000000000000001,9.7,0.2,9.34
군위,2021-11-01,0.0,0.0,1.393,29.303,0.6020000000000001,48.7,40.1,5.5,40.1,0.643,14.3,1.5,8.9
군위,2021-11-02,0.0,0.209,1.391,29.201,0.6,48.7,40.1,5.5,40.1,0.645,13.0,1.7,8.9
군위,2021-11-03,0.0,0.0,1.38,29.078,0.5970000000000001,48.7,40.1,5.5,40.1,0.6759999999999999,12.2,1.4,9.3
군위,2021-11-04,0.0,0.21,1.389,28.976,0.595,48.7,40.1,5.5,40.1,0.6459999999999999,12.3,1.1,9.4
군위,2021-11-05,0.0,0.0,1.387,28.854,0.593,48.7,40.1,5.5,40.1,0.735,12.5,1.4,7.7
군위,2021-11-06,0.0,0.0,1.386,28.733,0.59,48.7,40.1,5.5,40.1,0.721,13.0,1.7,9.0
군위,2021-11-07,0.0,0.212,1.385,28.631,0.588,48.7,40.1,5.5,40.1,0.713,14.2,1.9,6.9
군위,2021-11-08,28.4731,1.15,1.384,28.611,0.588,48.7,40.1,5.5,40.1,0.7690000000000001,10.9,2.9,0.6
군위,2021-11-09,0.0,1.152,1.386,28.591,0.5870000000000001,48.7,40.1,5.5,40.1,0.615,9.0,2.7,3.4
군위,2021-11-10,0.2366,0.449,1.386,28.51,0.585,48.7,40.1,5.5,40.1,0.6829999999999999,8.1,3.1,1.5
군위,2021-11-11,0.7634,0.441,1.377,28.429,0.584,48.7,40.1,5.5,40.1,0.551,8.7,3.5,5.6
군위,2021-11-12,0.0,0.451,1.386,28.348,0.5820000000000001,48.7,40.1,5.5,40.1,0.5579999999999999,7.4,3.8,5.5
군위,2021-11-13,0.0,0.21,1.377,28.247,0.58,48.7,40.1,5.5,40.1,0.7000000000000001,7.8,1.1,9.1
군위,2021-11-14,0.0,0.202,1.367,28.147,0.578,48.7,40.1,5.5,40.1,0.723,9.6,0.9,8.4
군위,2021-11-15,0.0,0.201,1.365,28.046,0.5760000000000001,48.7,40.1,5.5,40.1,0.659,9.7,1.0,7.6
군위,2021-11-16,0.0,0.222,1.384,27.946,0.574,48.7,40.1,5.5,40.1,0.61,9.3,1.3,8.8
군위,2021-11-17,0.0,0.212,1.373,27.845,0.5720000000000001,48.7,40.1,5.5,40.1,0.536,9.6,1.4,8.8
군위,2021-11-18,0.0,0.222,1.381,27.745,0.5700000000000001,48.7,40.1,5.5,40.1,0.626,10.5,0.9,8.7
군위,2021-11-19,0.0,0.0,1.38,27.625,0.5670000000000001,48.7,40.1,5.5,40.1,0.725,11.0,1.2,8.8
군위,2021-11-20,0.0,0.224,1.379,27.525,0.5650000000000001,48.7,40.1,5.5,40.1,0.766,10.7,0.9,8.1
군위,2021-11-21,0.0,0.223,1.377,27.426,0.563,48.7,40.1,5.5,40.1,0.774,11.4,0.9,2.1
군위,2021-11-22,0.0,0.0,1.375,27.2864,0.56,48.7,40.1,5.5,40.1,0.574,7.4,4.6,2.2
군위,2021-11-23,0.0,0.0,1.375,27.1672,0.5579999999999999,48.7,40.1,5.5,40.1,0.514,4.4,4.4,7.8
군위,2021-11-24,0.0,0.257,1.405,27.068,0.556,48.7,40.1,5.5,40.1,0.48,7.7,3.1,8.5
군위,2021-11-25,0.0,0.049,1.411,26.9503,0.5529999999999999,48.7,40.1,5.5,40.1,0.539,9.0,2.0,8.5
군위,2021-11-26,0.0,0.053,1.407,26.8333,0.551,48.7,40.1,5.5,40.1,0.433,7.2,3.1,9.1
군위,2021-11-27,0.0,0.275,1.402,26.736,0.549,48.7,40.1,5.5,40.1,0.499,5.9,1.5,9.1
군위,2021-11-28,0.0,0.049,1.398,26.619,0.547,48.7,40.1,5.5,40.1,0.601,5.2,1.0,7.7
군위,2021-11-29,0.0,0.273,1.395,26.522,0.545,48.7,40.1,5.5,40.1,0.531,7.2,0.9,8.6
군위,2021-11-30,17.0,0.272,1.392,26.426,0.5426,48.7,40.1,5.5,40.1,0.7809999999999999,5.7,2.3,1.1
군위,2021-12-01,0.0,0.719,1.39,26.368,0.541,48.7,40.1,5.5,40.1,0.396,2.4,6.3,9.2
군위,2021-12-02,0.0,0.494,1.388,26.29,0.54,48.7,40.1,5.5,40.1,0.536,2.6,2.3,9.2
군위,2021-12-03,0.0,0.271,1.387,26.194,0.538,48.7,40.1,5.5,40.1,0.544,4.8,2.9,5.6
군위,2021-12-04,0.0,0.496,1.387,26.117,0.536,48.7,40.1,5.5,40.1,0.52,4.2,3.1,5.8
군위,2021-12-05,0.0,0.274,1.386,26.021,0.534,48.7,40.1,5.5,40.1,0.728,3.7,0.8,8.9
군위,2021-12-06,0.0,0.275,1.385,25.9251,0.532,48.7,40.1,5.5,40.1,0.784,5.1,0.7,4.1
군위,2021-12-07,0.0,0.276,1.384,25.8293,0.53,48.7,40.1,5.5,40.1,0.674,7.5,1.2,8.7
군위,2021-12-08,0.0,0.276,1.382,25.7337,0.528,48.7,40.1,5.5,40.1,0.728,6.6,0.9,8.9
군위,2021-12-09,0.0,0.178,1.282,25.638,0.527,48.7,40.1,5.5,40.1,0.79,6.5,0.9,4.7
군위,2021-12-10,0.0,0.3,1.402,25.543,0.525,48.7,40.1,5.5,40.1,0.8009999999999999,8.0,1.1,2.2
군위,2021-12-11,0.0,0.081,1.401,25.429,0.522,48.7,40.1,5.5,40.1,0.7140000000000001,8.9,1.5,6.8
군위,2021-12-12,0.0,0.082,1.399,25.315,0.52,48.7,40.1,5.5,40.1,0.529,6.6,4.1,5.9
군위,2021-12-13,0.0,0.302,1.398,25.221,0.518,48.7,40.1,5.5,40.1,0.31,0.5,3.5,9.1
군위,2021-12-14,0.0,0.084,1.396,25.107,0.516,48.7,40.1,5.5,40.1,0.53,3.7,2.0,9.0
군위,2021-12-15,0.0,0.085,1.394,24.994,0.513,48.7,40.1,5.5,40.1,0.6859999999999999,6.1,1.0,7.9
군위,2021-12-16,0.0,0.305,1.394,24.9,0.511,48.7,40.1,5.5,40.1,0.8,6.3,0.9,0.4
군위,2021-12-17,0.0,0.0,1.389,24.757,0.508,48.7,40.1,5.5,40.1,0.429,0.5,6.3,7.9
군위,2021-12-18,0.0,0.257,1.428,24.656,0.506,48.7,40.1,5.5,40.1,0.386,-3.4,2.6,9.0
군위,2021-12-19,0.0,0.345,1.427,24.563,0.504,48.7,40.1,5.5,40.1,0.528,1.2,3.0,8.6
군위,2021-12-20,0.0,0.128,1.424,24.451,0.502,48.7,40.1,5.5,40.1,0.585,4.8,1.5,8.3
군위,2021-12-21,0.0,0.0,1.423,24.32,0.4994,48.7,40.1,5.5,40.1,0.675,6.3,1.0,8.6
군위,2021-12-22,0.0,0.346,1.421,24.228,0.4975,48.7,40.1,5.5,40.1,0.549,4.3,1.1,8.9
군위,2021-12-23,0.0,0.134,1.421,24.1164,0.49520000000000003,48.7,40.1,5.5,40.1,0.526,3.3,1.0,8.6
군위,2021-12-24,0.0,0.049,1.419,23.9981,0.493,48.7,40.1,5.5,40.1,0.596,4.2,2.0,3.6
군위,2021-12-25,0.0,0.222,1.418,23.8947,0.49100000000000005,48.7,40.1,5.5,40.1,0.386,-4.7,5.1,9.0
군위,2021-12-26,0.0,0.0,1.417,23.7659,0.488,48.7,40.1,5.5,40.1,0.39,-7.1,4.6,9.0
군위,2021-12-27,0.0,0.138,1.413,23.6557,0.48600000000000004,48.7,40.1,5.5,40.1,0.466,-2.1,3.7,8.7
군위,2021-12-28,0.0,0.234,1.295,23.564,0.484,48.7,40.1,5.5,40.1,0.6759999999999999,2.1,1.2,4.9
군위,2021-12-29,0.0,0.0,1.415,23.4324,0.48100000000000004,48.7,40.1,5.5,40.1,0.619,3.5,2.0,3.9
군위,2021-12-30,0.0,0.189,1.414,23.3266,0.479,48.7,40.1,5.5,40.1,0.454,1.1,4.9,7.6
군위,2021-12-31,0.0,0.148,1.412,23.2173,0.47700000000000004,48.7,40.1,5.5,40.1,0.353,-4.1,2.1,11.8
군위,2022-01-01,0.0,0.135,0.766,23.1628,0.47600000000000003,48.7,40.1,5.5,40.1,0.348,-2.3,1.7,7.2
군위,2022-01-02,0.0,0.0,0.76,23.0902,0.474,48.7,40.1,5.5,40.1,0.47100000000000003,0.5,1.7,6.4
군위,2022-01-03,0.0,0.129,0.758,23.0359,0.473,48.7,40.1,5.5,40.1,0.501,-0.2,1.6,8.7
군위,2022-01-04,0.0,0.127,0.756,22.9816,0.47200000000000003,48.7,40.1,5.5,40.1,0.394,1.9,2.0,8.5
군위,2022-01-05,0.0,0.127,0.755,22.9273,0.47100000000000003,48.7,40.1,5.5,40.1,0.439,0.6,0.8,1.2
군위,2022-01-06,0.0,0.0,0.755,22.8551,0.469,48.7,40.1,5.5,40.1,0.385,2.9,2.3,9.0
군위,2022-01-07,0.0,0.441,0.754,22.828,0.469,48.7,40.1,5.5,40.1,0.428,0.1,1.1,9.2
군위,2022-01-08,0.0,0.023,0.753,22.7649,0.4675,48.7,40.1,5.5,40.1,0.434,1.4,1.7,9.1
군위,2022-01-09,0.0,0.044,0.752,22.7037,0.466,48.7,40.1,5.5,40.1,0.659,2.0,0.9,6.4
군위,2022-01-10,0.0,0.107,0.752,22.648,0.465,48.7,40.1,5.5,40.1,0.618,3.0,1.4,6.8
군위,2022-01-11,0.0,0.0,0.751,22.5762,0.46399999999999997,48.7,40.1,5.5,40.1,0.449,-0.9,5.0,8.0
군위,2022-01-12,0.0,0.024,0.75,22.5134,0.462,48.7,40.1,5.5,40.1,0.42100000000000004,-3.2,3.6,9.2
군위,2022-01-13,0.0,0.0,0.75,22.4436,0.461,48.7,40.1,5.5,40.1,0.413,-2.7,5.0,7.6
군위,2022-01-14,0.0,0.376,0.749,22.4114,0.46,48.7,40.1,5.5,40.1,0.353,-2.6,2.6,9.1
군위,2022-01-15,0.0,0.005,0.749,22.3471,0.459,48.7,40.1,5.5,40.1,0.433,1.0,1.3,7.3
군위,2022-01-16,0.0,0.0,0.748,22.2633,0.4572,48.7,40.1,5.5,40.1,0.47600000000000003,1.9,2.8,7.7
군위,2022-01-17,0.0,0.0,0.748,22.192,0.4557,48.7,40.1,5.5,40.1,0.49100000000000005,-0.4,4.2,7.9
군위,2022-01-18,0.0,0.0,0.75,22.1209,0.45420000000000005,48.7,40.1,5.5,40.1,0.32299999999999995,-2.5,2.9,9.4
군위,2022-01-19,0.0,0.138,0.755,22.0677,0.45310000000000006,48.7,40.1,5.5,40.1,0.47600000000000003,-0.7,2.1,8.1
군위,2022-01-20,0.0,0.137,0.753,22.0144,0.452,48.7,40.1,5.5,40.1,0.46299999999999997,-1.1,2.0,9.3
군위,2022-01-21,0.0,0.138,0.753,21.9613,0.451,48.7,40.1,5.5,40.1,0.513,-1.0,1.0,9.1
군위,2022-01-22,0.0,0.138,0.752,21.9082,0.45,48.7,40.1,5.5,40.1,0.631,2.3,1.1,5.5
군위,2022-01-23,0.0,0.137,0.751,21.8552,0.449,48.7,40.1,5.5,40.1,0.623,6.4,1.5,3.3
군위,2022-01-24,0.0,0.137,0.75,21.8022,0.44799999999999995,48.7,40.1,5.5,40.1,0.61,4.9,2.7,0.1
군위,2022-01-25,0.0,0.138,0.75,21.7493,0.44700000000000006,48.7,40.1,5.5,40.1,0.6659999999999999,4.5,1.3,0.3
군위,2022-01-26,0.0,0.137,0.749,21.6965,0.446,48.7,40.1,5.5,40.1,0.554,3.8,2.6,8.3
군위,2022-01-27,0.0,0.137,0.748,21.6437,0.444,48.7,40.1,5.5,40.1,0.456,3.2,1.9,9.3
군위,2022-01-28,0.0,0.0,0.747,21.5734,0.443,48.7,40.1,5.5,40.1,0.325,2.3,3.2,7.7
군위,2022-01-29,0.0,0.138,0.747,21.5208,0.44200000000000006,48.7,40.1,5.5,40.1,0.34299999999999997,1.0,3.4,8.4
군위,2022-01-30,0.0,0.0,0.747,21.4507,0.441,48.7,40.1,5.5,40.1,0.34500000000000003,1.1,2.6,9.5
군위,2022-01-31,0.0,0.138,0.746,21.3982,0.439,48.7,40.1,5.5,40.1,0.335,1.3,2.1,10.0
군위,2022-04-01,0.0,0.665,1.382,18.4426,0.379,48.7,40.1,5.5,40.1,0.644,8.8,2.1,7.9
군위,2022-04-02,0.0,0.007,1.381,18.3238,0.3763,48.7,40.1,5.5,40.1,0.5,10.2,1.5,11.1
군위,2022-04-03,0.0,0.0,1.378,18.2038,0.3738,48.7,40.1,5.5,40.1,0.509,11.3,1.7,11.9
군위,2022-04-04,0.0,0.008,1.374,18.0858,0.371,48.7,40.1,5.5,40.1,0.49600000000000005,13.2,1.4,11.6
군위,2022-04-05,0.0,0.121,1.371,17.9779,0.369,48.7,40.1,5.5,40.1,0.353,14.4,2.0,10.4
군위,2022-04-06,0.0,0.215,1.368,17.8782,0.36700000000000005,48.7,40.1,5.5,40.1,0.35600000000000004,16.0,2.2,11.0
군위,2022-04-07,2.0,0.116,1.366,17.7702,0.365,48.7,40.1,5.5,40.1,0.493,14.4,2.7,8.3
군위,2022-04-08,0.0,0.22,1.027,17.7005,0.364,48.7,40.1,5.5,40.1,0.414,15.7,1.6,11.9
군위,2022-04-09,0.0,0.115,1.02,17.6223,0.36200000000000004,48.7,40.1,5.5,40.1,0.485,18.6,1.7,11.5
군위,2022-04-10,0.0,0.076,1.016,17.5411,0.36,48.7,40.1,5.5,40.1,0.506,19.5,1.6,9.8
군위,2022-04-11,0.0,0.036,1.011,17.4569,0.359,48.7,40.1,5.5,40.1,0.663,20.3,1.7,10.4
군위,2022-04-12,0.0,0.16,1.004,17.3839,0.35700000000000004,48.7,40.1,5.5,40.1,0.645,22.5,1.4,10.1
군위,2022-04-13,1.2366,0.022,1.002,17.2993,0.355,48.7,40.1,5.5,40.1,0.8009999999999999,12.2,5.4,4.8
군위,2022-04-14,1.7634,0.197,1.001,17.2298,0.354,48.7,40.1,5.5,40.1,0.7240000000000001,10.9,3.7,4.2
군위,2022-04-15,0.0,0.042,0.999,17.1471,0.35200000000000004,48.7,40.1,5.5,40.1,0.598,12.1,3.2,8.3
군위,2022-04-16,0.0,0.048,0.996,17.0652,0.35000000000000003,48.7,40.1,5.5,40.1,0.45299999999999996,13.5,1.9,12.3
군위,2022-04-17,0.0,0.07,0.994,16.9854,0.349,48.7,40.1,5.5,40.1,0.369,15.6,1.8,12.2
군위,2022-04-18,0.0,0.085,0.991,16.9072,0.34700000000000003,48.7,40.1,5.5,40.1,0.33299999999999996,18.1,2.0,9.2
군위,2022-04-19,0.0,0.031,0.989,16.8244,0.34600000000000003,48.7,40.1,5.5,40.1,0.314,18.4,2.2,12.1
군위,2022-04-20,0.0,0.032,0.987,16.7419,0.344,48.7,40.1,5.5,40.1,0.355,18.2,1.6,12.3
군위,2022-04-21,0.0,0.09,0.989,16.6642,0.342,48.7,40.1,5.5,40.1,0.603,14.3,1.1,1.5
군위,2022-04-22,0.0,0.0,0.995,16.5704,0.34,48.7,40.1,5.5,40.1,0.64,19.0,2.1,10.5
군위,2022-04-23,0.0,0.03,0.986,16.4878,0.33899999999999997,48.7,40.1,5.5,40.1,0.589,19.1,2.6,6.2
군위,2022-04-24,0.0,0.123,0.982,16.4136,0.337,48.7,40.1,5.5,40.1,0.524,22.0,1.8,11.6
군위,2022-04-25,1.0,0.013,0.975,15.8995,0.335,48.7,40.1,5.5,40.1,0.584,21.7,1.7,6.0
군위,2022-04-26,18.0,0.639,0.97,15.8709,0.326,48.7,40.1,5.5,40.1,0.9440000000000001,18.3,1.6,2.9
군위,2022-04-27,0.0,0.389,0.967,15.8209,0.3249,48.7,40.1,5.5,40.1,0.596,17.2,3.7,11.0
군위,2022-04-28,0.0,0.326,0.965,15.7657,0.324,48.7,40.1,5.5,40.1,0.67,15.7,3.7,8.9
군위,2022-04-29,10.0,0.432,0.965,15.7197,0.32299999999999995,48.7,40.1,5.5,40.1,0.8059999999999999,11.3,2.6,0.7
군위,2022-04-30,0.0,0.231,0.964,15.6564,0.322,48.7,40.1,5.5,40.1,0.604,14.5,2.1,4.6
군위,2022-05-01,0.0,0.212,0.978,15.5902,0.32,48.7,40.1,5.5,40.1,0.394,15.2,3.2,11.6
군위,2022-05-02,0.0,0.182,0.982,15.5211,0.319,48.7,40.1,5.5,40.1,0.5579999999999999,13.1,2.1,8.9
군위,2022-05-03,0.0,0.156,0.971,15.4507,0.317,48.7,40.1,5.5,40.1,0.596,15.2,1.5,10.9
군위,2022-05-04,0.0,0.136,0.984,15.3774,0.316,48.7,40.1,5.5,40.1,0.49,19.0,1.7,12.6
군위,2022-05-05,0.0,0.106,0.987,15.3012,0.314,48.7,40.1,5.5,40.1,0.515,20.0,1.5,13.0
군위,2022-05-06,0.0,0.069,0.983,15.2223,0.313,48.7,40.1,5.5,40.1,0.583,21.2,1.5,11.8
군위,2022-05-07,0.0,0.017,0.98,15.1391,0.311,48.7,40.1,5.5,40.1,0.665,18.9,3.7,8.6
군위,2022-05-08,0.0,0.026,0.978,15.0568,0.309,48.7,40.1,5.5,40.1,0.599,16.4,3.7,8.0
군위,2022-05-09,0.0,0.095,0.977,14.9807,0.308,48.7,40.1,5.5,40.1,0.555,16.2,3.0,10.2
군위,2022-05-10,0.0,0.0,0.974,14.893,0.306,48.7,40.1,5.5,40.1,0.563,16.5,2.9,8.7
군위,2022-05-11,0.0,0.111,0.973,14.8185,0.304,48.7,40.1,5.5,40.1,0.574,20.7,1.7,5.2
군위,2022-05-12,0.0,0.0,0.989,14.729,0.3024,48.7,40.1,5.5,40.1,0.631,20.2,3.1,3.6
군위,2022-05-13,1.0,0.128,1.001,14.6535,0.3009,48.7,40.1,5.5,40.1,0.8640000000000001,15.7,3.0,3.7
군위,2022-05-14,0.2331,0.0,1.0,14.558,0.2989,48.7,40.1,5.5,40.1,0.5,17.9,3.1,11.4
군위,2022-05-15,0.0,0.1,0.996,14.4806,0.2973,48.7,40.1,5.5,40.1,0.42100000000000004,17.1,2.4,12.2
군위,2022-05-16,0.0,0.0,0.993,14.3949,0.2956,48.7,40.1,5.5,40.1,0.385,18.5,2.0,12.5
군위,2022-05-17,0.0,0.018,0.991,14.3108,0.2939,48.7,40.1,5.5,40.1,0.423,20.4,1.5,10.1
군위,2022-05-18,0.0,0.0,0.989,14.224,0.2921,48.7,40.1,5.5,40.1,0.428,23.3,2.1,12.4
군위,2022-05-19,0.0,0.023,0.991,14.1404,0.2904,48.7,40.1,5.5,40.1,0.369,23.0,2.0,7.3
군위,2022-05-20,0.0,0.0,0.803,14.0685,0.2889,48.7,40.1,5.5,40.1,0.433,22.8,1.9,8.5
군위,2022-05-21,0.0,0.0,0.802,13.991,0.2873,48.7,40.1,5.5,40.1,0.515,23.7,3.1,12.8
군위,2022-05-22,0.0,0.023,0.802,13.9237,0.2859,48.7,40.1,5.5,40.1,0.456,24.8,3.7,12.7
군위,2022-05-23,0.0,0.023,0.8,13.8566,0.2845,48.7,40.1,5.5,40.1,0.528,24.4,2.0,15.6
군위,2022-05-24,4.7668,0.0,0.797,13.7853,0.2831,48.7,40.1,5.5,40.1,0.455,26.4,2.0,12.2
군위,2022-05-25,0.0,0.04,0.797,13.7199,0.2817,48.7,40.1,5.5,40.1,0.549,25.5,1.8,10.3
군위,2022-05-26,0.0,0.0,0.796,13.6475,0.2802,48.7,40.1,5.5,40.1,0.41600000000000004,22.9,3.4,12.6
군위,2022-05-27,0.0,0.0,0.795,13.5753,0.2788,48.7,40.1,5.5,40.1,0.373,23.8,4.1,13.3
군위,2022-05-28,0.0,0.0,0.794,13.5047,0.2773,48.7,40.1,5.5,40.1,0.39,24.9,1.9,13.3
군위,2022-05-29,0.0,0.0,0.793,13.4314,0.2758,48.7,40.1,5.5,40.1,0.405,24.9,1.7,13.5
군위,2022-05-30,0.0,0.0,0.793,13.361,0.27440000000000003,48.7,40.1,5.5,40.1,0.538,24.3,2.1,1.4
